tulsi: tulsi 
gabbard: gabbard 
policy: policies policy 
age: age 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
justin: justin 
sullivan: sullivan 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
april: april 
place: place 
american: american 
samoa: samoa 
zodiac: zodiac 
sign: sign 
aries: aries 
cite: cite 
page: page 
publish: publish 
nov: nov 
comment: comment 
congresswoman: congresswoman 
represents: represents 
state: state states 
hawaii: hawaii 
iraq: iraq 
war: wars war 
veteran: veterans veteran 
major: major 
army: army 
national: national 
guard: guard 
ran: ran 
democratic: democratic 
presidential: presidential 
candidate: candidates candidate 
served: served 
house: house 
representative: representatives 
behalf: behalf 
nd: nd 
congressional: congressional 
district: district 
since: since 
deployed: deployed 
kuwait: kuwait 
part: part 
one: one 
first: first 
female: female 
combat: combat 
hindu: hindu 
elected: elected 
congress: congress 
xa: xa 
committee: committee committees 
vice: vice 
chair: chair 
left: left 
post: post 
due: due 
friction: friction 
well: well 
desire: desire 
endorse: endorse 
senator: senator 
bernie: bernie 
sander: sanders 
bid: bid 
known: known 
vehement: vehement 
stance: stance 
military: military 
interventionism: interventionism 
champion: champion 
right: right rights 
announced: announced 
candidacy: candidacy 
nomination: nomination 
dropping: dropping 
race: race 
march: march 
early: early 
life: life lives 
education: education 
born: born 
island: island 
tutuila: tutuila 
parent: parents 
mike: mike 
carol: carol 
moved: moved 
family: family 
two: two 
year: years year 
old: old 
hailing: hailing 
multi: multi 
racial: racial 
background: background 
mix: mix 
polynesian: polynesian 
asian: asian 
european: european 
ancestry: ancestry 
four: four 
sibling: siblings 
second: second 
youngest: youngest 
influenced: influenced 
father: father 
politician: politician 
initially: initially 
gay: gay 
later: later 
changed: changed 
experience: experience 
advocate: advocates 
