robert: robert 
mueller: mueller 
education: education 
special: special 
counsel: counsel counsels 
life: life lives 
biography: biography 
skip: skip 
main: main 
content: contents content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact contacts 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
saul: saul 
loeb: loeb 
afp: afp 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
august: august 
age: age 
princeton: princeton 
university: university 
new: new 
york: york 
virginia: virginia 
school: school 
law: law 
place: place 
zodiac: zodiac 
sign: sign 
leo: leo 
cite: cite 
page: pages page 
quote: quotes 
reward: rewards 
public: public 
service: service 
outweigh: outweigh 
period: periods 
criticism: criticism 
inevitably: inevitably 
get: get gets 
prosecution: prosecution 
creation: creation 
past: past 
prevention: prevention 
anticipation: anticipation 
future: future 
much: much 
difficult: difficult 
task: task 
publish: publish 
apr: apr 
comment: comment comments 
served: served 
director: director 
fbi: fbi 
named: named 
investigate: investigate 
russian: russians russian 
interference: interference 
presidential: presidential 
election: election 
attended: attended 
distinction: distinction 
vietnam: vietnam 
became: became 
assistant: assistant 
attorney: attorney attorneys 
northern: northern 
district: district 
california: california 
next: next 
two: two 
plus: plus 
decade: decades 
also: also 
took: took 
prominent: prominent 
role: roles 
massachusetts: massachusetts 
department: department 
justice: justice 
immediately: immediately 
confronted: confronted 
attack: attacks 
subsequently: subsequently 
overhauled: overhauled 
bureau: bureau 
meet: meet 
demand: demands 
posed: posed 
st: st 
century: century 
terrorist: terrorist 
activity: activity 
left: left 
post: post 
returned: returned 
spotlight: spotlight 
four: four 
year: years year 
later: later 
charge: charge charges 
investigating: investigating 
possible: possible 
tie: ties 
associate: associate associates 
president: president 
xa: xa 
donald: donald 
trump: trump 
early: early 
swan: swan 
iii: iii 
born: born 
city: city 
grew: grew 
outside: outside 
philadelphia: philadelphia 
prestigious: prestigious 
paul: paul 
hampshire: hampshire 
captained: captained 
soccer: soccer 
lacrosse: lacrosse 
hockey: hockey 
team: team teams 
latter: latter 
alongside: alongside 
secretary: secretary 
state: state states 
john: john 
kerry: kerry 
followed: followed 
father: father 
graduating: graduating 
bachelor: bachelor 
politics: politics 
earned: earned 
master: master 
international: international 
relation: relations 
following: following 
receiving: receiving 
bronze: bronze 
star: star 
navy: navy 
commendation: commendation 
medal: medals 
purple: purple 
heart: heart 
vietnamese: vietnamese 
cross: cross 
gallantry: gallantry 
officer: officer 
marine: marine 
corp: corps 
returning: returning 
stateside: stateside 
resumed: resumed 
serving: serving 
review: review 
earning: earning 
j: j 
criminal: criminal 
unable: unable 
achieve: achieve 
initial: initial 
goal: goal 
position: position 
united: united 
office: offices office 
joined: joined 
san: san 
francisco: francisco 
firm: firm 
pillsbury: pillsbury 
madison: madison 
sutro: sutro 
fulfilled: fulfilled 
becoming: becoming 
rising: rising 
chief: chief 
division: division 
acting: acting 
boston: boston 
hill: hill 
barlow: barlow 
spearhead: spearhead 
panamanian: panamanian 
dictator: dictator 
manuel: manuel 
noriega: noriega 
doj: doj 
oversaw: oversaw 
lockerbie: lockerbie 
bombing: bombing bombings 
case: cases case 
formed: formed 
agency: agency 
first: first 
cyber: cyber 
dedicated: dedicated 
unit: unit 
private: private 
practice: practice 
partner: partner 
hale: hale 
dorr: dorr 
known: known 
wilmerhale: wilmerhale 
however: however 
blood: blood 
lower: lower 
level: level 
job: job 
homicide: homicide 
columbia: columbia 
soon: soon 
orthodox: orthodox 
career: career 
path: path 
deputy: deputy 
general: general 
george: george 
w: w 
bush: bush 
administration: administration 
july: july 
nominated: nominated 
replace: replace 
outgoing: outgoing 
louis: louis 
freeh: freeh 
unanimously: unanimously 
approved: approved 
senate: senate 
officially: officially 
sixth: sixth 
september: september 
one: one 
week: week weeks 
month: months month 
acknowledged: acknowledged 
might: might 
prevented: prevented 
headquarters: headquarters 
tip: tips 
field: field 
set: set 
dramatically: dramatically 
reorganizing: reorganizing 
uprooting: uprooting 
domestic: domestic 
fighting: fighting 
install: install 
high: high 
tech: tech 
global: global 
operation: operation 
designed: designed 
head: head 
threat: threats 
pressed: pressed 
expanded: expanded 
surveillance: surveillance 
power: powers power 
nearly: nearly 
quit: quit 
viewed: viewed 
abuse: abuse 
ashcroft: ashcroft 
hospitalized: hospitalized 
official: officials official 
attempted: attempted 
override: override 
james: james 
comey: comey 
gain: gain 
extension: extension 
illegal: illegal 
wiretapping: wiretapping 
program: program 
intended: intended 
resign: resign 
cooling: cooling 
compromise: compromise 
reached: reached 
lauded: lauded 
success: success 
modernizing: modernizing 
accepted: accepted 
barack: barack 
obama: obama 
offer: offer 
remain: remain 
additional: additional 
confirmed: confirmed 
shortly: shortly 
conclusion: conclusions conclusion 
faced: faced 
another: another 
event: event 
marathon: marathon 
april: april 
revealed: revealed 
previously: previously 
investigated: investigated 
older: older 
brother: brother brothers 
involved: involved 
though: though 
make: make 
arrest: arrest 
part: part 
due: due 
lack: lack 
cooperation: cooperation 
provide: provide 
evidence: evidence 
stepping: stepping 
longest: longest 
since: since 
edgar: edgar 
hoover: hoover 
teaching: teaching 
stanford: stanford 
rejoined: rejoined 
old: old 
important: important 
including: including 
investigation: investigation 
nfl: nfl 
controversial: controversial 
suspension: suspension 
player: player 
ray: ray 
rice: rice 
russia: russia 
longtime: longtime 
prosecutor: prosecutors prosecutor 
may: may 
oversee: oversee 
appointment: appointment 
drew: drew 
praise: praise 
side: sides 
aisle: aisle 
october: october 
federal: federal 
grand: grand 
jury: jury 
former: former 
campaign: campaign 
chairman: chairmen chairman 
manafort: manafort 
rick: rick 
gate: gates 
indicted: indicted 
series: series 
tax: tax 
fraud: fraud 
money: money 
laundering: laundering 
foreign: foreign 
lobbying: lobbying 
violation: violations 
day: day days 
brought: brought 
news: news 
papadopoulos: papadopoulos 
adviser: adviser 
pleaded: pleaded 
guilty: guilty 
lying: lying 
revelation: revelations 
revived: revived 
talk: talk 
potentially: potentially 
cutting: cutting 
budget: budget 
even: even 
