john: john 
lewis: lewis 
death: death 
congress: congress 
civil: civil 
right: right rights 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
courtesy: courtesy 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
july: july 
know: know 
struggle: struggle 
arrested: arrested 
approximately: approximately 
time: times time 
youngest: youngest 
speaker: speaker 
march: march 
washington: washington 
place: place 
near: near 
troy: troy 
alabama: alabama 
legacy: legacy 
cite: cite 
page: page 
quote: quotes 
growing: growing 
mother: mother 
father: father 
family: family 
member: member members 
said: said 
get: get 
trouble: trouble 
way: way 
got: got 
necessary: necessary 
second: second 
class: class 
citizenship: citizenship 
courage: courage 
reflection: reflection 
heart: hearts heart 
something: something 
deep: deep 
within: within 
man: man 
woman: woman 
even: even 
child: child 
must: must 
resist: resist 
defy: defy 
authority: authority 
morally: morally 
wrong: wrong 
make: makes make 
despite: despite 
fear: fear 
doubt: doubt 
road: road 
toward: toward 
justice: justice 
heroic: heroic 
bird: birds 
need: need 
wing: wings 
fly: fly 
rooted: rooted 
reason: reason 
rather: rather 
come: comes come 
divine: divine 
purpose: purpose 
thing: things 
around: around 
world: world 
inspired: inspired 
missile: missiles 
gun: guns gun 
idea: idea ideas 
accomplished: accomplished 
everything: everything 
wanted: wanted 
would: would 
like: like 
leave: leave 
little: little 
piece: piece 
real: real 
estate: estate 
cause: cause 
peace: peace 
end: end 
violence: violence 
home: home 
abroad: abroad 
spend: spend 
much: much 
resource: resources 
killing: killing 
determined: determined 
let: let 
act: act 
keep: keep 
goal: goal 
knew: knew 
life: life lives 
could: could 
threatened: threatened 
made: made 
mind: minds 
turn: turn 
back: back 
lyndon: lyndon 
johnson: johnson 
signed: signed 
voting: voting 
helped: helped 
free: free 
liberate: liberate 
disagree: disagree 
court: court 
discrimination: discrimination 
somehow: somehow 
irrelevant: irrelevant 
today: today 
record: record 
clearly: clearly 
demonstrates: demonstrates 
numerous: numerous 
attempt: attempt attempts 
impede: impede 
still: still 
exist: exist 
matter: matter 
pervasive: pervasive 
widespread: widespread 
rampant: rampant 
one: one 
instance: instance 
democracy: democracy 
imagine: imagine 
beaten: beaten 
rock: rock 
hill: hill 
greyhound: greyhound 
bus: bus 
terminal: terminal terminals 
freedom: freedom 
ride: rides 
police: police 
chief: chief 
black: black 
recognize: recognize 
radical: radical 
social: social 
political: political 
economic: economic 
change: changes 
take: take 
society: society 
mass: mass masses 
bring: bring 
seek: seek 
work: work 
community: community 
love: love 
true: true 
brotherhood: brotherhood 
soul: souls 
cannot: cannot 
rest: rest 
believe: believe 
nonviolence: nonviolence 
living: living 
immutable: immutable 
principle: principles 
nonnegotiable: nonnegotiable 
going: going 
create: create 
maybe: maybe 
happen: happen 
lifetime: lifetime 
beloved: beloved 
national: national 
organizing: organizing 
voter: voters voter 
registration: registration 
drive: drives 
sitting: sitting 
coming: coming 
first: first 
getting: getting 
jail: jail 
never: never 
thought: thought 
dreamed: dreamed 
possibility: possibility 
african: african 
american: americans american 
day: day days 
elected: elected 
president: president 
united: united 
state: state states 
publish: publish 
jan: jan 
comment: comment 
big: big 
six: six 
leader: leaders leader 
movement: movement 
continued: continued 
fight: fight 
since: since 
joining: joining 
grew: grew 
era: era 
racial: racial 
segregation: segregation 
martin: martin 
luther: luther 
king: king 
jr: jr 
joined: joined 
burgeoning: burgeoning 
rider: rider riders 
spoke: spoke 
led: led 
demonstration: demonstrations demonstration 
became: became 
known: known 
bloody: bloody 
sunday: sunday 
received: received 
presidential: presidential 
medal: medal 
early: early 
robert: robert 
born: born 
outside: outside 
happy: happy 
childhood: childhood 
though: though 
needed: needed 
hard: hard 
assist: assist 
sharecropper: sharecropper 
parent: parents 
chafed: chafed 
unfairness: unfairness 
particularly: particularly 
disappointed: disappointed 
supreme: supreme 
ruling: ruling 
brown: brown 
v: v 
board: board 
education: education 
xa: xa 
affect: affect 
school: school 
however: however 
hearing: hearing 
sermon: sermons 
news: news 
montgomery: montgomery 
boycott: boycott 
see: see 
left: left 
attend: attend 
baptist: baptist 
theological: theological 
seminary: seminary 
nashville: nashville 
tennessee: tennessee 
learned: learned 
nonviolent: nonviolent 
protest: protest 
organize: organize 
sit: sit 
in: ins 
segregated: segregated 
lunch: lunch 
counter: counters 
upset: upset 
committed: committed 
went: went 
participate: participate 
challenged: challenged 
facility: facilities 
encountered: encountered 
interstate: interstate 
south: south 
deemed: deemed 
illegal: illegal 
dangerous: dangerous 
resulted: resulted 
arrest: arrests 
beating: beatings 
many: many 
involved: involved 
including: including 
chairman: chairman 
student: student 
coordinating: coordinating 
committee: committee 
year: years year 
plan: plan 
event: event 
alter: alter 
speech: speech 
order: order 
please: please 
organizer: organizers 
delivered: delivered 
powerful: powerful 
oration: oration 
declared: declared 
law: law 
easier: easier 
vote: vote 
attention: attention 
hosea: hosea 
williams: williams 
selma: selma 
crossing: crossing 
edmund: edmund 
pettus: pettus 
bridge: bridge 
marcher: marchers 
attacked: attacked 
trooper: troopers 
severely: severely 
suffering: suffering 
fractured: fractured 
skull: skull 
violent: violent 
attack: attacks attack 
recorded: recorded 
disseminated: disseminated 
throughout: throughout 
country: country 
image: images 
proved: proved 
ignore: ignore 
labeled: labeled 
sped: sped 
passage: passage 
congressman: congressman 
sncc: sncc 
devastated: devastated 
assassination: assassinations 
kennedy: kennedy 
enfranchise: enfranchise 
minority: minorities minority 
director: director 
project: project 
tenure: tenure 
vep: vep 
register: register 
million: millions 
ran: ran 
office: office 
winning: winning 
seat: seat 
atlanta: atlanta 
city: city 
council: council 
house: house 
representative: representatives representative 
representing: representing 
georgia: georgia 
th: th 
district: district 
respected: respected 
entering: entering 
called: called 
healthcare: healthcare 
reform: reform 
measure: measures 
poverty: poverty 
improvement: improvements 
importantly: importantly 
oversaw: oversaw 
multiple: multiple 
renewal: renewals 
struck: struck 
part: part 
shelby: shelby 
county: county 
holder: holder 
decried: decried 
decision: decision 
dagger: dagger 
wake: wake 
shooting: shooting 
took: took 
june: june 
orlando: orlando 
florida: florida 
comprised: comprised 
democrat: democrats 
floor: floor 
nd: nd 
force: force 
address: address 
taking: taking 
definitive: definitive 
legislative: legislative 
action: action 
x: x 
c: c 
quiet: quiet 
long: long 
say: say 
noise: noise 
move: move 
foot: feet 
came: came 
several: several 
bill: bill 
regarding: regarding 
background: background 
check: check checks 
adding: adding 
restriction: restrictions 
purchase: purchase 
federal: federal 
list: list 
failed: failed 
senate: senate 
senator: senator 
chris: chris 
murphy: murphy 
applauded: applauded 
previously: previously 
filibuster: filibuster 
subsequent: subsequent 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
clashing: clashing 
donald: donald 
trump: trump 
